a	AW1
ab	AW1 P
aba	AW1 P AW1
abadang	AW1 P AW1 T AW1 NG
abade	AW1 P AW1 T AH1
abaga	AW1 P AW1 K AW1
abagai	AW1 P AW1 K AW1 JH
abaganar	AW1 P AW1 K AW1 N AW1 R
abahai	AW1 P AW1 HH AW1 JH
abahambime	AW1 P AW1 HH AW1 M P IY1 M AH1
abahan	AW1 P AW1 HH AW1 N
abahanar	AW1 P AW1 HH AW1 N AW1 R
abai	AW1 P AW1 JH
abakai	AW1 P AW1 K AW1 JH
abaki	AW1 P AW1 K IY1
abalabufi	AW1 P AW1 L AW1 P UW1 F IY1
abalabumbi	AW1 P AW1 L AW1 P UW1 M P IY1
abalafi	AW1 P AW1 L AW1 F IY1
abalaha	AW1 P AW1 L AW1 HH AW1
abalahabi	AW1 P AW1 L AW1 HH AW1 P IY1
abalahai	AW1 P AW1 L AW1 HH AW1 JH
abalahangge	AW1 P AW1 L AW1 HH AW1 NG NG AH1
abalaki	AW1 P AW1 L AW1 K IY1
abalakini	AW1 P AW1 L AW1 K IY1 N IY1
abalambi	AW1 P AW1 L AW1 M P IY1
abalame	AW1 P AW1 L AW1 M AH1
abalanambi	AW1 P AW1 L AW1 N AW1 M P IY1
abalandumbi	AW1 P AW1 L AW1 N T UW1 M P IY1
abalanjimbi	AW1 P AW1 L AW1 N JH IY1 M P IY1
abalanumbi	AW1 P AW1 L AW1 N UW1 M P IY1
abalaqi	AW1 P AW1 L AW1 K IY1
abalara	AW1 P AW1 L AW1 R AW1
abalarade	AW1 P AW1 L AW1 R AW1 T AH1
abalarangge	AW1 P AW1 L AW1 R AW1 NG NG AH1
aban	AW1 P AW1 N
abandai	AW1 P AW1 N T AW1 JH
abang	AW1 P AW1 NG
abaraha	AW1 P AW1 R AW1 HH AW1
abasa	AW1 P AW1 S AW1
abasi	AW1 P AW1 S IY1
abatai	AW1 P AW1 T AW1 JH
abatu	AW1 P AW1 T UW1
abda	AW1 P T AW1
abdaha	AW1 P T AW1 HH AW1
abdahai	AW1 P T AW1 HH AW1 JH
abdahan	AW1 P T AW1 HH AW1 N
abdahaname	AW1 P T AW1 HH AW1 N AW1 M AH1
abdaka	AW1 P T AW1 K AW1
abdala	AW1 P T AW1 L AW1
abdalambi	AW1 P T AW1 L AW1 M P IY1
abdalarahv	AW1 P T AW1 L AW1 R AW1 HH AO1
abdangga	AW1 P T AW1 NG N AW1
abdarakv	AW1 P T AW1 R AW1 K AO1
abdarhan	AW1 P T AW1 R HH AW1 N
abdari	AW1 P T AW1 R IY1
abdeha	AW1 P T AH1 HH AW1
abe	AW1 P AH1
abga	AW1 P K AW1
