tailo_syllable,jyutping,count,flag
|,|1,149,UNKNOWN_RHYME
á,aa2,130,
bô,bo4,49,
thâu,taau4,43,
ê,e4,34,
lâng,lang4,32,
tsuí,zeoi2,27,
khu,ku1,26,
Kok,gok1,26,
sió,soe2,26,
tuā,daa1,25,
lí,li2,24,
kha,kaa1,23,
hn̂g,hng4,23,
tsi̍t,zi̍t1,21,UNKNOWN_RHYME
kah,gaat1,21,
lâi,laai4,21,
ū,u1,21,
khì,ki3,20,
Kong,gong1,19,
ke,ge1,19,
kok,gok1,19,
suann,suann1,19,UNKNOWN_RHYME
lōo,loo1,19,UNKNOWN_RHYME
sī,si1,17,
tshuì,ceoi3,17,
hong,hong1,17,
tiong,dung1,17,
ē,e1,16,
uân,un4,16,
hiong,hung1,16,
kong,gong1,16,
sim,sim1,15,
Tâi,daai4,15,
khuànn,kuann3,15,UNKNOWN_RHYME
bē,be1,15,
phah,paat1,15,
tē,de1,15,
kue,go1,14,
tsia̍h,zia̍h1,14,UNKNOWN_RHYME
hōo,hoo1,14,UNKNOWN_RHYME
m̄,m1,14,UNKNOWN_RHYME
sann,sann1,13,UNKNOWN_RHYME
iû,iu4,13,
jī,ji1,13,
kàu,gaau3,13,
Sin,sin1,13,
tsò,zo3,13,
Tuā,daa1,13,
ki,gi1,13,
ko,go1,13,
hūn,hun1,13,
tio̍h,dio̍h1,12,UNKNOWN_RHYME
kháu,kaau2,12,
bé,be2,12,
khí,ki2,12,
sing,sing1,12,
ha̍k,ha̍k1,12,UNKNOWN_RHYME
tsa̍p,za̍p1,11,UNKNOWN_RHYME
I,i1,11,
hue,ho1,11,
thôo,too4,11,UNKNOWN_RHYME
kóng,gong2,11,
nn̄g,nng1,11,
sî,si4,11,
bûn,bun4,11,
ting,ding1,10,
hué,ho2,10,
bí,bi2,10,
pak,bak1,10,
san,san1,10,
liông,lung4,10,
bué,bo2,10,
hó,ho2,10,
li̍p,li̍p1,10,UNKNOWN_RHYME
lo̍h,lo̍h1,10,UNKNOWN_RHYME
kak,gak1,10,
kiô,goe4,10,
oo,oo1,10,UNKNOWN_RHYME
suànn,suann3,10,UNKNOWN_RHYME
khang,kang1,10,
hô,ho4,10,
sin,sin1,10,
pōo,boo1,10,UNKNOWN_RHYME
kóo,goo2,9,UNKNOWN_RHYME
beh,bet1,9,
hî,hi4,9,
sian,sin1,9,
nâ,naa4,9,
kiat,git1,9,
ah,aat1,9,
su,su1,9,
sio,soe1,9,
ba̍k,ba̍k1,9,UNKNOWN_RHYME
khah,kaat1,9,
tsí,zi2,9,
tsin,zin1,9,
tshia,ce1,9,
huat,hut1,9,
tiān,din1,9,
Lâm,lam4,9,
Tiong,dung1,9,
tsháu,caau2,9,
Ko,go1,9,
kuán,gun2,8,
khinn,kinn1,8,UNKNOWN_RHYME
ku,gu1,8,
ài,aai3,8,
hun,hun1,8,
sái,saai2,8,
sè,se3,8,
leh,let1,8,
lī,li1,8,
tāi,daai1,8,
guá,gaa2,8,
peh,bet1,8,
tik,dik1,8,
tshài,caai3,8,
jîn,jin4,8,
liân,lin4,8,
poo,boo1,8,UNKNOWN_RHYME
khe,ke1,8,
tōo,doo1,8,UNKNOWN_RHYME
bah,baat1,8,
tsînn,zinn4,8,UNKNOWN_RHYME
sam,sam1,7,
hok,hok1,7,
pān,ban1,7,
tit,dit1,7,
hō,ho1,7,
kiû,giu4,7,
king,ging1,7,
kang,gang1,7,
tsì,zi3,7,
tō,do1,7,
la̍t,la̍t1,7,UNKNOWN_RHYME
tshiū,ciu1,7,
tshiú,ciu2,7,
hing,hing1,7,
tsiah,ziah1,7,UNKNOWN_RHYME
thâm,tam4,7,
guân,gun4,7,
huē,ho1,7,
it,it1,7,
tông,dong4,7,
kut,gut1,7,
kâu,gaau4,7,
buē,bo1,7,
put,but1,7,
lóng,long2,7,
ná,naa2,7,
tsú,zu2,7,
tn̂g,dng4,7,
lîng,ling4,7,
tsiu,ziu1,7,
tshut,cut1,7,
siūnn,siunn1,6,UNKNOWN_RHYME
siōng,sung1,6,
gín,gin2,6,
tshenn,cenn1,6,UNKNOWN_RHYME
àm,am3,6,
lō͘,lo͘1,6,UNKNOWN_RHYME
kun,gun1,6,
káng,gang2,6,
kuann,guann1,6,UNKNOWN_RHYME
pún,bun2,6,
tò,do3,6,
koo,goo1,6,UNKNOWN_RHYME
sng,sng1,6,
hûn,hun4,6,
i,i1,6,
Āu,aau1,6,
niá,ne2,6,
āu,aau1,6,
lo̍k,lo̍k1,6,UNKNOWN_RHYME
tshàu,caau3,6,
keh,get1,6,
a,aa1,6,
tshù,cu3,6,
bîn,bin4,6,
sū,su1,6,
mi̍h,mi̍h1,6,UNKNOWN_RHYME
tsûn,zun4,6,
pàng,bang3,6,
sik,sik1,6,
Sam,sam1,6,
kì,gi3,6,
káu,gaau2,6,
tsìng,zing3,6,
kui,geoi1,6,
pang,bang1,6,
Tāi,daai1,6,
tsing,zing1,6,
lāu,laau1,6,
lâm,lam4,6,
phòng,pong3,6,
tāu,daau1,6,
thinn,tinn1,6,UNKNOWN_RHYME
lô,lo4,6,
tī,di1,6,
tsai,zaai1,6,
tú,du2,6,
tshe,ce1,6,
kuè,go3,6,
bān,ban1,6,
sai,saai1,6,
thih,tit1,6,
phang,pang1,6,
nî,ni4,6,
tshì,ci3,6,
tsìnn,zinn3,6,UNKNOWN_RHYME
sîng,sing4,6,
Lāi,laai1,6,
thâng,tang4,5,
kî,gi4,5,
ì,i3,5,
tâng,dang4,5,
huè,ho3,5,
tíng,ding2,5,
liû,liu4,5,
ôo,oo4,5,UNKNOWN_RHYME
gû,gu4,5,
tsa,zaa1,5,
kiánn,giann2,5,UNKNOWN_RHYME
tsuá,zaa2,5,
báng,bang2,5,
kè,ge3,5,
sòo,soo3,5,UNKNOWN_RHYME
pi,bi1,5,
bîng,bing4,5,
ké,ge2,5,
kiānn,giann1,5,UNKNOWN_RHYME
khoo,koo1,5,UNKNOWN_RHYME
senn,senn1,5,UNKNOWN_RHYME
Jī,ji1,5,
lāi,laai1,5,
Lí,li2,5,
tshú,cu2,5,
tsiūnn,ziunn1,5,UNKNOWN_RHYME
ta,daa1,5,
sìng,sing3,5,
bú,bu2,5,
piah,biah1,5,UNKNOWN_RHYME
hái,haai2,5,
kim,gim1,5,
hún,hun2,5,
tì,di3,5,
tsio̍h,zio̍h1,5,UNKNOWN_RHYME
té,de2,5,
bû,bu4,5,
seh,set1,5,
lân,lan4,5,
jia̍t,jia̍t1,5,UNKNOWN_RHYME
Kíng,ging2,5,
tshân,can4,5,
gōo,goo1,5,UNKNOWN_RHYME
ji̍t,ji̍t1,5,UNKNOWN_RHYME
Tang,dang1,5,
tsiáu,ziu2,5,
tinn,dinn1,5,UNKNOWN_RHYME
kip,gip1,5,
thian,tin1,5,
khenn,kenn1,5,UNKNOWN_RHYME
tsē,ze1,5,
tshit,cit1,5,
kài,gaai3,5,
khuân,kun4,5,
tshian,cin1,5,
an,an1,5,
Sann,sann1,5,UNKNOWN_RHYME
lūn,lun1,5,
siu,siu1,5,
ta̍h,da̍h1,5,UNKNOWN_RHYME
tsîng,zing4,5,
Bān,ban1,5,
lóo,loo2,5,UNKNOWN_RHYME
kín,gin2,5,
kuan,gun1,4,
ngóo,ngoo2,4,UNKNOWN_RHYME
mn̂g,mng4,4,
tshuah,cuah1,4,UNKNOWN_RHYME
Tsa̍p,za̍p1,4,UNKNOWN_RHYME
phīnn,pinn1,4,UNKNOWN_RHYME
kau,gaau1,4,
mā,maa1,4,
sú,su2,4,
si̍k,si̍k1,4,UNKNOWN_RHYME
âng,ang4,4,
ló,lo2,4,
tshī,ci1,4,
hóo,hoo2,4,UNKNOWN_RHYME
uē,o1,4,
tńg,dng2,4,
tsāi,zaai1,4,
si̍t,si̍t1,4,UNKNOWN_RHYME
tsi̍h,zi̍h1,4,UNKNOWN_RHYME
Sai,saai1,4,
pênn,benn4,4,UNKNOWN_RHYME
phìnn,pinn3,4,UNKNOWN_RHYME
pe̍h,be̍h1,4,UNKNOWN_RHYME
sut,sut1,4,
pháinn,painn2,4,UNKNOWN_RHYME
bīn,bin1,4,
huan,hun1,4,
pò,bo3,4,
soaⁿ,soa1,4,UNKNOWN_RHYME
tsū,zu1,4,
siū,siu1,4,
uánn,uann2,4,UNKNOWN_RHYME
pn̄g,bng1,4,
tàn,dan3,4,
se,se1,4,
pē,be1,4,
tsiânn,ziann4,4,UNKNOWN_RHYME
kam,gam1,4,
Ài,aai3,4,
liâu,liu4,4,
pá,baa2,4,
lâu,laau4,4,
tóng,dong2,4,
siánn,siann2,4,UNKNOWN_RHYME
miā,me1,4,
náu,naau2,4,
kiànn,giann3,4,UNKNOWN_RHYME
u,u1,4,
bâ,baa4,4,
suí,seoi2,4,
